Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,124.35357175554547,60.20156179155622,214.60500117710657,124.35357175554547,60.2700001852853,214.60500117710657,126.14357212611607,60.831428800310405,217.02428654262,123.42642865862165,59.982142857142854,212.3885716029576,124.78357206072126,60.356428146362305,214.59357125418526,7167414.285714285,7734128.571428572,26731742.85714286
std,3.542000423812474,0.8655687444956235,5.643364683610214,3.542000423812474,0.779674336092103,5.643364683610214,4.018651556377682,0.7194534892576006,5.894801847708228,3.5015867511879724,0.7934947346792907,5.390115639260446,3.8180538704213127,0.8333497366851639,5.844236012485803,7108045.848825892,1135562.9782545827,5255816.545023719
min,117.37000274658203,58.59274673461914,205.91000366210938,117.37000274658203,58.83000183105469,205.91000366210938,120.1500015258789,59.52000045776367,210.11000061035156,116.83999633789062,58.5099983215332,204.82000732421875,119.04000091552734,58.709999084472656,207.05999755859375,2815400.0,6070800.0,19925800.0
25%,121.98000144958496,59.48448657989502,210.43000411987305,121.98000144958496,59.63499927520752,210.43000411987305,123.57250213623047,60.380001068115234,211.0400047302246,121.18500137329102,59.420000076293945,207.31499862670898,122.41500091552734,59.80749988555908,209.24250411987305,3255100.0,6975100.0,22912750.0
50%,124.99499893188477,60.40500068664551,214.43499755859375,124.99499893188477,60.40500068664551,214.43499755859375,125.82500076293945,60.82500076293945,216.61499786376953,124.15499877929688,59.86000061035156,212.2050018310547,124.60499954223633,60.329999923706055,214.64500427246094,4253700.0,7356700.0,26257950.0
75%,125.93750190734863,60.9424991607666,219.66000366210938,125.93750190734863,60.9424991607666,219.66000366210938,127.29999923706055,61.36000061035156,222.29750061035156,125.11749839782715,60.79499912261963,216.6099967956543,126.74250221252441,61.060001373291016,219.80999374389648,6960550.0,8595925.0,28322175.0
max,131.49000549316406,61.459999084472656,222.86000061035156,131.49000549316406,61.459999084472656,222.86000061035156,135.5,61.83000183105469,225.2100067138672,129.77000427246094,61.06999969482422,220.42999267578125,132.0,61.56999969482422,223.0,25288900.0,9743600.0,40461400.0
