Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT,IBM,ORCL,MSFT
Date,,,,,,,,,,,,,,,,,,
2020-10-01,121.08999633789062,59.43931579589844,212.4600067138672,121.08999633789062,59.68000030517578,212.4600067138672,123.30000305175781,60.27000045776367,213.99000549316406,120.36000061035156,59.45000076293945,211.32000732421875,122.36000061035156,60.16999816894531,213.49000549316406,3211700.0,7357700.0,27158400.0
2020-10-02,120.56999969482422,58.59274673461914,206.19000244140625,120.56999969482422,58.83000183105469,206.19000244140625,121.75,59.52000045776367,210.99000549316406,118.81999969482422,58.5099983215332,205.5399932861328,119.04000091552734,58.709999084472656,208.0,2925200.0,7329800.0,33154800.0
2020-10-05,122.01000213623047,59.319801330566406,210.3800048828125,122.01000213623047,59.560001373291016,210.3800048828125,122.75,59.66999816894531,210.41000366210938,121.05000305175781,59.09000015258789,206.97999572753906,121.83999633789062,59.439998626708984,207.22000122070312,3050500.0,6899200.0,21331600.0
2020-10-06,121.97000122070312,59.27000045776367,205.91000366210938,121.97000122070312,59.5099983215332,205.91000366210938,124.83000183105469,60.529998779296875,210.17999267578125,121.58999633789062,59.40999984741211,204.82000732421875,122.58000183105469,59.5099983215332,208.82000732421875,3872300.0,9743600.0,28554300.0
2020-10-07,124.06999969482422,60.59000015258789,209.8300018310547,124.06999969482422,60.59000015258789,209.8300018310547,124.38999938964844,60.900001525878906,210.11000061035156,122.31999969482422,59.63999938964844,206.72000122070312,122.66999816894531,59.77000045776367,207.05999755859375,2815400.0,8690900.0,25681100.0
2020-10-08,131.49000549316406,60.88999938964844,210.5800018310547,131.49000549316406,60.88999938964844,210.5800018310547,135.5,61.29999923706055,211.19000244140625,129.77000427246094,60.630001068115234,208.32000732421875,130.86000061035156,60.790000915527344,210.50999450683594,25288900.0,7202800.0,19925800.0
2020-10-09,127.79000091552734,61.150001525878906,215.80999755859375,127.79000091552734,61.150001525878906,215.80999755859375,132.0,61.380001068115234,215.86000061035156,127.5999984741211,60.86000061035156,211.22999572753906,132.0,61.150001525878906,211.22999572753906,8353700.0,7355700.0,26458000.0
2020-10-12,127.20999908447266,61.459999084472656,221.39999389648438,127.20999908447266,61.459999084472656,221.39999389648438,128.25,61.83000183105469,223.86000061035156,126.44000244140625,61.06999969482422,216.80999755859375,128.07000732421875,61.2400016784668,218.7899932861328,4635100.0,8275000.0,40461400.0
2020-10-13,125.0999984741211,60.970001220703125,222.86000061035156,125.0999984741211,60.970001220703125,222.86000061035156,127.1500015258789,61.779998779296875,225.2100067138672,124.45999908447266,60.880001068115234,220.42999267578125,126.56999969482422,61.56999969482422,222.72000122070312,5406100.0,8896300.0,28950800.0
2020-10-14,125.94000244140625,60.959999084472656,220.86000061035156,125.94000244140625,60.959999084472656,220.86000061035156,126.94000244140625,61.529998779296875,224.22000122070312,125.12999725341797,60.849998474121094,219.1300048828125,125.12999725341797,61.349998474121094,223.0,3730100.0,6652200.0,23451700.0
2020-10-15,124.88999938964844,60.52000045776367,219.66000366210938,124.88999938964844,60.52000045776367,219.66000366210938,125.22000122070312,60.7400016784668,220.36000061035156,123.8499984741211,60.08000183105469,216.00999450683594,124.08000183105469,60.27000045776367,217.10000610351562,3385300.0,6251600.0,22733100.0
2020-10-16,125.93000030517578,60.290000915527344,219.66000366210938,125.93000030517578,60.290000915527344,219.66000366210938,126.43000030517578,61.11000061035156,222.2899932861328,124.66000366210938,60.2599983215332,219.32000732421875,125.16999816894531,60.709999084472656,220.14999389648438,4710400.0,6070800.0,26057900.0
2020-10-19,125.5199966430664,59.619998931884766,214.22000122070312,125.5199966430664,59.619998931884766,214.22000122070312,127.3499984741211,60.75,222.3000030517578,125.08000183105469,59.38999938964844,213.72000122070312,126.80000305175781,60.38999938964844,220.4199981689453,7478700.0,8311000.0,27625800.0
2020-10-20,117.37000274658203,59.75,214.64999389648438,117.37000274658203,59.75,214.64999389648438,120.1500015258789,60.33000183105469,217.3699951171875,116.83999633789062,59.630001068115234,213.08999633789062,119.80000305175781,59.91999816894531,215.8000030517578,21501100.0,9241200.0,22753500.0
